Plot_ID,Species,Seedlings_2015,Saplings_2015,,,,,
I10,CATO,4,1,,,,,
I10,CECA,,2,,,,,
I10,TIAM,1,,,,,,
I10,CAAM,,3,,,,,
I10,QUVE,1,,,,,,
I10,FRPE,1,,,,,,
J1,QUAL,16,,,,,,
J1,CAGL,1,,,,,,
J1,CECA,1,,,,,,
J1,CATO,3,,,,,,
J1,QUVE,3,,,,,,
J1,DIVI,5,,,,,,
J1,CEOC,2,,,,,,
J1,ASTR,2,,,,,,
J2,QUAL,7,,,,,,
J2,CEOC,2,3,,,,,
J2,RHCA,2,1,,,,,
J2,VIAC,1,,,,,,
J2,QUVE,5,,,,,,
J2,CECA,5,,,,,,
J2,CAGL,2,,,,,,
J2,QUNI,1,,,,,,
J3,HYAR,2,,,,,,
J3,ASTR,3,,,,,,
J3,CECA,6,,,,,,
J3,CEOC,3,,,,,,
J3,CAAM,,1,,,,,
J3,CATO,2,,,,,,
J3,RHCA,1,,,,,,
J3,QUVE,2,,,,,,
J4,CATO,2,,,,,,
J4,CEOC,3,,,,,,
J4,CECA,2,,,,,,
J4,ASTR,1,,,,,,
J4,NYSY,1,,,,,,
J4,DIVI,1,,,,,,
J5,CEOC,2,,,,,,
J5,QURU,1,,,,,,
J5,QUAL,4,,,,,,
J5,NYSY,,1,,,,,
J5,TIAM,1,,,,,,
J6,QUAL,16,,,,,,
J6,CECA,4,1,,,,,
J6,RHCA,1,,,,,,
J6,CEOC,1,,,,,,
J6,CAGL,1,,,,,,
J6,QURU,1,,,,,,
J6,CATO,1,,,,,,
J7,QUAL,8,,,,,,
J7,CEOC,2,,,,,,
J7,CAGL,1,,,,,,
J7,CECA,1,,,,,,
J7,RHCA,3,,,,,,
J8,TIAM,,1,,,,,
J8,QUAL,3,,,,,,
J8,CATO,1,,,,,,
J8,CEOC,4,1,,,,,
J8,ASTR,2,,,,,,
J9,Cratagus spp.,,1,,,,,
J9,CEOC,20,,,,,,
J9,CECA,1,,,,,,
J9,DIVI,2,,,,,,
J9,QURU,1,,,,,,
J9,ASTR,5,,,,,,
J10,CATO,1,1,,,,,
J10,QURU,1,,,,,,
J10,QUAL,2,,,,,,
J10,QUVE,1,,,,,,
J10,QUFA,1,,,,,,
